epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12344.6,1.39845,0.51186,1.27158,0.96668,0.97926,0.99022,0.636,1.341,0.43715,1.35495,0.0011882,0.0011882,0.0011882
43,12955.4,1.38293,0.505,1.25642,0.97511,0.97488,0.99101,0.63995,1.33428,0.43331,1.3486,0.0011684,0.0011684,0.0011684
44,13416,1.36515,0.49613,1.24845,0.97606,0.97684,0.99167,0.63884,1.3517,0.43199,1.36415,0.0011486,0.0011486,0.0011486
45,13783.1,1.37569,0.49651,1.26871,0.96956,0.9799,0.99147,0.64379,1.33732,0.42912,1.35972,0.0011288,0.0011288,0.0011288
46,14130.2,1.37518,0.50135,1.2414,0.97578,0.97131,0.99094,0.63822,1.34067,0.42652,1.35807,0.001109,0.001109,0.001109
47,14501.6,1.37366,0.50226,1.25194,0.97318,0.9785,0.99176,0.64216,1.34246,0.42498,1.36161,0.0010892,0.0010892,0.0010892
48,14871.1,1.35559,0.4951,1.25008,0.96478,0.98133,0.99043,0.63654,1.35176,0.43137,1.36585,0.0010694,0.0010694,0.0010694
49,15269.1,1.35033,0.49028,1.2467,0.96852,0.97826,0.99154,0.64072,1.33839,0.42451,1.36107,0.0010496,0.0010496,0.0010496
50,15627.1,1.37421,0.4971,1.25278,0.97578,0.97498,0.99199,0.64389,1.34673,0.43312,1.36661,0.0010298,0.0010298,0.0010298
51,15987.1,1.36849,0.49617,1.26044,0.97022,0.97753,0.99159,0.6415,1.3407,0.42365,1.36849,0.00101,0.00101,0.00101
52,16351.7,1.36626,0.49542,1.2474,0.97436,0.97203,0.99156,0.64169,1.33806,0.42258,1.35885,0.0009902,0.0009902,0.0009902
53,16699.5,1.33895,0.48639,1.23744,0.97487,0.97887,0.99172,0.6429,1.33477,0.42058,1.34741,0.0009704,0.0009704,0.0009704
54,17085.6,1.35445,0.49243,1.24132,0.96267,0.97926,0.98922,0.63962,1.33883,0.4223,1.3515,0.0009506,0.0009506,0.0009506
55,17427.1,1.34968,0.48685,1.24325,0.97017,0.97546,0.99094,0.64555,1.3456,0.42489,1.35072,0.0009308,0.0009308,0.0009308
56,17810.5,1.34937,0.48688,1.23807,0.97308,0.97822,0.99212,0.64505,1.32676,0.41653,1.34913,0.000911,0.000911,0.000911
57,18292.2,1.33033,0.48142,1.23553,0.97853,0.97235,0.99176,0.64782,1.32607,0.41199,1.34977,0.0008912,0.0008912,0.0008912
58,18691,1.35325,0.49108,1.24534,0.97493,0.97857,0.99121,0.63323,1.3351,0.42415,1.35833,0.0008714,0.0008714,0.0008714
59,19116,1.32894,0.47717,1.23558,0.97224,0.98047,0.99178,0.64812,1.33488,0.4127,1.35259,0.0008516,0.0008516,0.0008516
60,19468.1,1.32908,0.48292,1.24263,0.97112,0.97639,0.99152,0.6473,1.3306,0.41596,1.35066,0.0008318,0.0008318,0.0008318
61,19839.9,1.32862,0.47388,1.22319,0.96861,0.98099,0.99102,0.65229,1.32587,0.41111,1.35289,0.000812,0.000812,0.000812
62,20187.9,1.34459,0.48186,1.2405,0.96886,0.97875,0.99133,0.64742,1.322,0.41476,1.34806,0.0007922,0.0007922,0.0007922
63,20454.8,1.33059,0.48207,1.23026,0.96989,0.97961,0.99178,0.64541,1.33003,0.41388,1.35587,0.0007724,0.0007724,0.0007724
64,20722.5,1.32555,0.47219,1.23355,0.96881,0.97689,0.99161,0.64674,1.32679,0.413,1.35642,0.0007526,0.0007526,0.0007526
65,20989.2,1.31624,0.47333,1.22411,0.97328,0.97891,0.99172,0.6526,1.32112,0.40591,1.34323,0.0007328,0.0007328,0.0007328
66,21260.6,1.32934,0.47346,1.23034,0.96661,0.97995,0.99146,0.64739,1.32693,0.41533,1.35219,0.000713,0.000713,0.000713
67,21516.7,1.32227,0.47157,1.23234,0.97516,0.97891,0.99171,0.65054,1.32093,0.40641,1.35375,0.0006932,0.0006932,0.0006932
68,21767.3,1.3014,0.46854,1.21309,0.97416,0.97304,0.99143,0.64611,1.32695,0.40936,1.35271,0.0006734,0.0006734,0.0006734
69,22035.2,1.29414,0.46322,1.20726,0.97174,0.97753,0.99132,0.65009,1.33013,0.40922,1.35752,0.0006536,0.0006536,0.0006536
70,22258.7,1.30993,0.4715,1.22995,0.9712,0.98272,0.99175,0.64805,1.32618,0.40798,1.35648,0.0006338,0.0006338,0.0006338
71,22461.4,1.30795,0.46177,1.22321,0.96862,0.98168,0.9914,0.64841,1.32401,0.40669,1.35922,0.000614,0.000614,0.000614
